;2024;;
;Exports;Imports;Trade balance
Total;1 808 172;1 088 187;719 985
;;;
Trade areas;;;
Nordic countries;287 229;191 278;95 951
EFTA;15 501;14 857;644
EU1;1 188 936;579 221;609 715
OECD;1 547 794;646 199;901 595
Developing countries;129 716;246 737;-117 021
LDC - least developed countries;4 953;8 420;-3 467
;;;
Continents and countries;;;
Europe;1 572 690;665 595;907 095
Belgium;92 367;22 512;69 855
Denmark;88 235;45 829;42 405
Estonia;2 918;6 962;-4 044
Finland;60 325;26 386;33 939
France;110 269;29 849;80 420
Greece;11 492;2 009;9 483
Ireland;6 601;6 541;60
Iceland;10 559;4 129;6 430
Italy;27 774;33 308;-5 534
Lithuania;18 923;12 182;6 740
Netherlands;191 521;49 167;142 353
Poland;105 012;37 006;68 006
Portugal;9 770;4 126;5 643
Romania;7 339;7 006;333
Russia;733;2 413;-1 681
Slovakia;1 412;4 138;-2 727
Spain;25 460;23 665;1 795
United Kingdom;344 174;50 115;294 059
Switzerland;4 939;10 647;-5 708
Sweden;124 644;112 850;11 793
Czechia;3 612;15 393;-11 780
Türkiye;13 384;11 644;1 740
Germany;281 963;112 734;169 230
Hungary;3 814;10 290;-6 476
Austria;4 032;7 272;-3 240
Other countries in Europe;21 418;17 422;3 996
;;;
Asia;111 073;229 975;-118 903
Hong Kong;2 991;1 585;1 406
India;3 982;9 271;-5 289
Japan;8 756;19 662;-10 906
China;42 193;129 552;-87 359
Malaysia;2 368;4 710;-2 342
Singapore;5 529;10 148;-4 619
South Korea;13 588;7 449;6 139
Taiwan;2 433;8 302;-5 869
Thailand;5 568;6 623;-1 056
Viet Nam;4 920;12 157;-7 237
Other countries in Asia;18 745;20 516;-1 771
;;;
Northern, Central America and the Caribbean;76 508;112 160;-35 652
Canada;9 248;20 322;-11 074
United States of America;61 829;82 465;-20 636
Other countries in North- and Central America;5 431;9 373;-3 942
;;;
South America;16 774;34 428;-17 653
Brazil;11 466;22 075;-10 609
Chile;2 639;4 243;-1 604
Peru;208;2 792;-2 583
Other countries in South-America;2 461;5 318;-2 857
;;;
Africa;25 068;18 089;6 979
Angola;4 077;417;3 660
Botswana;1;130;-129
South Africa;1 267;5 013;-3 746
Other countries in Africa;19 723;12 529;7 194
;;;
Oceania;5 248;3 966;1 281
Australia;3 929;2 779;1 150
New Zealand;431;483;-52
Other countries in Oceania;888;704;184
1Figures for EU is without Great Britain from February 2020 on.;;;
