;NOK Million;;Change in per cent;NOK Million;;Change in per cent
;July 2024;July 2025;July 2024 -July 2025;So far this year;;July 2024 -July 2025
;;;;July 2024;July 2025;
Total;87 486;88 187;0.8;613 239;636 951;3.9
Of which:;;;;;;
Ships and oil platforms (part of SITC 793);420;0;-100.0;6 534;1 160;-82.2
Imports excl. Ships and oil platforms;87 066;88 187;1.3;606 705;635 791;4.8
;;;;;;
0 Food and live animals;6 244;7 168;14.8;44 054;50 518;14.7
00 Live animals other than animals of div.03;16;26;62.8;124;168;36.3
01 Meat and meat preparations;187;242;29.8;1 172;1 393;18.8
02 Dairy products and birds' eggs;231;237;2.8;1 688;1 685;-0.2
03 Fish, crustaceans, molluscs and prep. thereof;354;400;13.2;3 927;4 395;11.9
04 Cereals and cereal preparations;801;856;6.9;5 981;5 915;-1.1
05 Vegetables and fruit;1 249;1 454;16.4;11 178;12 462;11.5
06 Sugars, sugar prepatations and honey;248;206;-16.8;1 725;1 709;-0.9
07 Coffee, tea, cocoa, spices;592;875;47.6;4 023;6 477;61.0
08 Feeding stuff for animals (not cereals);1 817;2 007;10.5;9 430;10 844;15.0
09 Miscellaneous edible products;750;865;15.3;4 808;5 470;13.8
;;;;;;
1 Beverages and tobacco;1 444;1 472;2.0;9 373;9 337;-0.4
11 Beverages;939;1 051;11.9;6 198;6 389;3.1
12 Tobacco and tobacco manufactures;505;422;-16.5;3 175;2 948;-7.2
;;;;;;
2 Crude materials, inedible, except fuels;6 138;3 677;-40.1;38 625;39 679;2.7
21 Hides, skins and furskins, raw;4;5;20.0;38;27;-30.6
22 Oil seeds and oleaginous fruits;229;365;59.2;1 425;1 953;37.1
23 Crude rubber;16;25;54.9;113;130;15.0
24 Wood, lumber and cork;459;444;-3.3;3 222;3 608;12.0
25 Pulp and waste paper;103;25;-75.7;495;369;-25.5
26 Textile fibres and their waste;13;14;7.0;102;106;3.9
27 Crude fertilizers and crude minerales;609;492;-19.2;4 575;4 058;-11.3
28 Metalliferous ores and metal scrap;4 500;2 062;-54.2;26 386;26 781;1.5
29 Crude animal and vegetable materials;203;244;20.1;2 268;2 646;16.7
;;;;;;
3 Mineral fuels, lubricants and related materials;6 607;6 073;-8.1;45 029;34 564;-23.2
32 Coal, coke and briquettes;387;294;-23.9;2 552;2 365;-7.3
33 Petroleum, petroleum products;5 904;5 198;-11.9;37 933;28 409;-25.1
"334 Petroleum oils and oils obtained from bituminous minerals (other than crude); preparations, n.e.s., containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparation";4 220;3 683;-12.7;31 816;21 048;-33.8
34 Gas , natural and manufactured;83;257;210.6;1 027;1 465;42.6
342 Liquefied propane and butane;62;216;249.2;771;1 118;44.9
35 Electric current;233;323;38.4;3 516;2 325;-33.9
;;;;;;
4 Animal and vegetable oils, fats and waxes;1 763;1 065;-39.6;9 857;9 038;-8.3
41 Animal oils and fats;1 156;335;-71.0;5 677;3 644;-35.8
42 Fixed vegetable fats and oils, crude, refined or fractionated;564;671;19.1;3 759;4 522;20.3
43 Animal or vegetable fats and oils, processed;43;59;36.1;421;872;107.0
;;;;;;
5 Chemicals and related products n.e.s.;9 921;10 028;1.1;67 689;69 175;2.2
51 Organic chemicals;972;1 125;15.7;7 535;7 314;-2.9
52 Inorganic chemicals;1 248;760;-39.1;6 592;6 372;-3.3
53 Dyeing, tanning and colouring materials;435;384;-11.7;2 789;2 984;7.0
54 Medicinal and pharmaceutical products;2 985;3 259;9.2;20 125;20 990;4.3
55 Essential oils and resinoids etc;1 164;1 208;3.8;8 336;8 611;3.3
56 Fertilizers;500;540;8.0;3 138;3 312;5.5
57 Plastics in primary forms;433;443;2.3;3 791;3 905;3.0
58 Plastics in non-primary forms;672;666;-0.9;5 334;5 532;3.7
59 Chemical materials and products, n.e.s.;1 512;1 642;8.6;10 051;10 157;1.1
;;;;;;
6 Manufactured goods classified chiefly by material;10 947;10 582;-3.3;80 883;84 709;4.7
61 Leather, leather manufactures, furskins;37;38;3.0;300;222;-25.9
62 Rubber manufactures, n.e.s.;568;669;17.8;4 396;4 904;11.6
63 Cork and wood manufactures;565;582;3.0;5 059;5 302;4.8
64 Paper, paperboard and manufactures thereof;848;800;-5.7;5 956;6 064;1.8
65 Textile yarn, fabrics, made-up articles;943;964;2.3;6 463;7 001;8.3
66 Non-metallic mineral manufactures, n.e.s.;887;882;-0.5;6 960;7 433;6.8
67 Iron and steel;2 473;1 733;-29.9;15 756;16 770;6.4
68 Non-ferrous metals;1 063;990;-6.9;8 555;8 174;-4.5
69 Manufactures of metals, n.e.s.;3 564;3 924;10.1;27 437;28 838;5.1
;;;;;;
7 Machinery and transport equipment;31 702;35 348;11.5;226 845;241 079;6.3
71 Power generating machinery and equipment;1 319;1 603;21.5;13 065;12 755;-2.4
72 Machinery for special industries;3 021;3 104;2.7;22 341;21 825;-2.3
73 Metal working machinery;260;262;0.6;1 848;1 927;4.3
74 General industrial machinery and equipment;4 927;6 002;21.8;33 129;37 469;13.1
75 Office machines, data processing machines;3 812;5 003;31.2;23 592;22 907;-2.9
76 Telecommunications apparatus and equipment;3 007;2 988;-0.6;20 245;21 616;6.8
77 Electrical machinery and apparatus;5 498;5 845;6.3;36 959;40 502;9.6
78 Road vehicles;8 531;9 189;7.7;58 985;67 457;14.4
781 Motor cars and other motor vehicles principally designed for the transport of persons;5 158;5 422;5.1;30 659;38 574;25.8
79 Other transport equipment including ships;1 326;1 353;2.1;16 681;14 620;-12.4
;;;;;;
8 Miscellaneous manufactured articles;10 594;11 033;4.1;75 927;81 774;7.7
81 Prefabricated buildings;763;843;10.4;5 293;5 818;9.9
82 Furniture and parts thereof;1 405;1 476;5.0;10 896;11 646;6.9
83 Travel goods, handbags etc.;283;241;-15.0;1 717;1 750;2.0
84 Articles of apparel and accessories;2 232;2 172;-2.7;14 958;14 884;-0.5
85 Footwear;601;622;3.4;4 112;4 250;3.4
87 Professional and scientific instruments;2 027;2 010;-0.9;14 625;16 434;12.4
88 Photographic and optical goods;435;469;7.9;2 779;3 076;10.7
89 Miscellaneous manufactured articles, n.e.s;2 847;3 201;12.4;21 546;23 915;11.0
;;;;;;
9 Other commodities and transactions;2 126;1 740;-18.1;14 956;17 079;14.2
91 Postal packages not classified according to kind;0;0;.;0;0;.
93 Special transactions and commodities not classified according to kind;2 050;1 580;-22.9;14 258;15 971;12.0
96 Coin (other than gold coin), not being legal tender;1;9;986.7;16;31;90.1
97 Gold, non-monetary (excluding gold, ores and concentrates);74;152;103.6;682;1 077;57.9
1Standard International Trade Classification, Revision 4 (SITC, Rev. 4);;;;;;
