;2024;;;;;;;;
;Total mainland exports;Distribution by the SITC;;;;;;;
;;Food, beverages and tobacco (SITC 0 and 1);Fish (subgroup 03 of SITC 0);Crude materials except fuels (SITC 2 and 4);Fuels (SITC 3);Chemicals and related products n.e.s (SITC 5);Manufactured goods (SITC 6);Machinery and transport equipment (SITC 7);Miscellanous manufactured articles (SITC 8)
The whole country;711 071;181 944;167 986;37 821;100 908;80 452;128 864;133 691;47 391
;;;;;;;;;
County of production;;;;;;;;;
Oslo;17 478;1 208;215;1 885;7;6 496;993;5 388;1 500
Østfold;17 943;1 610;117;3 880;26;7 630;3 485;1 166;147
Akershus;8 217;918;310;211;6;4 233;292;1 742;816
Buskerud;16 091;127;39;602;22;815;2 111;7 399;5 014
Vestfold;13 928;216;141;1 101;82;3 018;4 957;2 734;1 818
Telemark;33 808;308;134;484;535;25 406;2 970;3 381;724
Innlandet;16 862;1 063;692;2 290;20;617;2 605;5 762;4 505
Agder;47 534;1 040;915;972;1;10 624;29 807;4 625;466
Rogaland;52 945;8 814;7 286;3 982;18 412;1 692;12 361;6 255;1 429
Vestland;140 741;35 778;33 980;3 813;59 347;3 184;22 764;13 635;2 220
Møre og Romsdal;63 869;35 799;33 031;3 062;2;2 563;14 805;5 432;2 205
Trøndelag - Trööndelage;44 327;27 322;26 506;2 078;45;5 584;3 966;2 786;2 546
Troms - Romsa - Tromssa;16 846;15 646;15 565;114;0;:;:;42;9
Finnmark - Finnmárku - Finmarkku;9 066;7 780;7 779;477;728;1;:;36;:
Nordland - Nordlánnda;48 943;28 907;28 508;2 404;0;:;12 480;:;95
Svalbard;174;0;0;0;174;0;0;0;0
Jan Mayen;0;0;0;0;0;0;0;0;0
Norwegian goods produced in several counties;39 662;9 831;9 400;7 975;20 320;210;180;743;404
Re-exports of goods produced abroad3;100 296;2 580;1 267;1 240;1 172;4 173;11 579;60 526;19 025
County not stated4;22 340;2 997;2 101;1 251;9;1 305;2 494;9 853;4 431
1;;;;;;;;;
2Standard International Trade Classification, Revision 4 (SITC, Rev. 4;;;;;;;;;
3County of production is defined as the county for the major value added. When the exports consists of a mix of goods from different counties, and the county of production is hard to state, the definition Norwegian goods produced in several counties is used. In the case when the value of an imported intermediate good is more than doubled, the good is considered as produced in Norway. In the opposite it is considered as exports of goods produced abroad.;;;;;;;;;
4County not stated implies no information about county of production is available.;;;;;;;;;
12 July 2024: Table 10482 in StatBank has been updated with new figures for the years 2022 and 2023.;;;;;;;;;
